Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
5V1,YELLOW,LED_0805_2012Metric,197.5,-105.5,180.0,top
C1,100n,C_0603_1608Metric,220.2,-96.6,180.0,top
C10,100n,C_0603_1608Metric,225.75,-91.0,90.0,top
C11,100n,C_0603_1608Metric,223.0,-106.25,-90.0,top
C12,100n,C_0603_1608Metric,235.5,-106.5,-90.0,top
C13,100n,C_0603_1608Metric,239.0,-97.25,0.0,top
C14,1u,C_0603_1608Metric,239.0,-95.75,0.0,top
C15,100n,C_0603_1608Metric,254.0,-114.6,-90.0,top
C16,1n,C_0603_1608Metric,240.25,-65.5,90.0,top
C17,1n,C_0603_1608Metric,255.0,-94.0,-90.0,top
C18,2.2u,C_0603_1608Metric,206.5,-106.0,-90.0,top
C19,2.2u,C_0603_1608Metric,208.5,-106.0,-90.0,top
C2,100n,C_0603_1608Metric,239.5,-107.25,90.0,top
C20,6.8n,C_0603_1608Metric,196.5,-100.5,-90.0,top
C21,1n,C_0603_1608Metric,216.75,-101.25,180.0,top
C22,1n,C_0603_1608Metric,218.0,-102.75,180.0,top
C23,150p,C_0603_1608Metric,198.0,-100.5,-90.0,top
C24,2.2u,C_0603_1608Metric,212.75,-103.5,90.0,top
C25,22n,C_0603_1608Metric,207.5,-103.75,180.0,top
C26,2.2u,C_0603_1608Metric,215.0,-102.75,0.0,top
C27,100n,C_0603_1608Metric,255.0,-97.0,-90.0,top
C28,100n,C_0603_1608Metric,247.5,-95.0,-90.0,top
C29,"4.7u, 100V",C_1210_3225Metric,216.75,-94.725,-90.0,top
C3,15p,C_0603_1608Metric,245.5,-101.75,90.0,top
C30,10n,C_0603_1608Metric,197.25,-91.0,90.0,top
C31,1n,C_0603_1608Metric,193.75,-66.75,-90.0,top
C32,1n,C_0603_1608Metric,212.75,-66.25,-90.0,top
C33,100n,C_0603_1608Metric,198.75,-93.5,180.0,top
C34,220n,C_0603_1608Metric,204.75,-91.25,0.0,top
C35,220n,C_0603_1608Metric,208.0,-88.25,0.0,top
C36,220n,C_0603_1608Metric,211.0,-90.75,0.0,top
C37,"4.7u, 100V",C_1210_3225Metric,200.5,-90.75,180.0,top
C38,2.2u,C_1206_3216Metric,181.6,-92.8,180.0,top
C39,100n,C_0603_1608Metric,194.25,-104.0,0.0,top
C4,4.7u,C_0603_1608Metric,239.0,-103.25,0.0,top
C40,22u,C_1210_3225Metric,181.6,-95.8,180.0,top
C41,22u,C_1210_3225Metric,181.6,-99.0,180.0,top
C42,22u,C_1210_3225Metric,187.4,-99.2,0.0,top
C43,2.2u,C_1206_3216Metric,190.0,-105.25,0.0,top
C44,22u,C_1210_3225Metric,190.0,-108.0,0.0,top
C45,22u,C_1210_3225Metric,190.0,-111.25,0.0,top
C46,22u,C_1210_3225Metric,190.0,-114.5,0.0,top
C47,1n,C_0603_1608Metric,199.75,-75.0,-90.0,top
C48,1n,C_0603_1608Metric,199.475,-86.25,180.0,top
C49,"4.7n, 100V",C_0805_2012Metric,208.75,-76.25,0.0,top
C5,2.2u,C_0603_1608Metric,227.25,-91.0,90.0,top
C50,"10uF, 100V",C_2220_5750Metric,206.0,-65.5,90.0,top
C51,"10uF, 100V",C_2220_5750Metric,225.0,-65.5,90.0,top
C52,1n,C_0603_1608Metric,218.75,-75.0,-90.0,top
C53,1n,C_0603_1608Metric,218.725,-86.25,180.0,top
C54,"10uF, 100V",C_2220_5750Metric,244.0,-65.5,90.0,top
C55,"4.7n, 100V",C_0805_2012Metric,227.75,-76.25,0.0,top
C56,1n,C_0603_1608Metric,237.75,-75.0,-90.0,top
C57,1n,C_0603_1608Metric,237.725,-86.25,180.0,top
C58,2.2u,C_0603_1608Metric,237.0,-92.75,90.0,top
C59,"4.7n, 100V",C_0805_2012Metric,246.75,-77.75,0.0,top
C6,15p,C_0603_1608Metric,245.5,-98.0,-90.0,top
C60,22u,C_1210_3225Metric,179.0,-74.75,-90.0,top
C61,100n,C_0603_1608Metric,191.25,-72.5,-90.0,top
C62,22u,C_1210_3225Metric,176.75,-66.75,180.0,top
C63,22u,C_1210_3225Metric,176.75,-70.0,180.0,top
C64,22u,C_1210_3225Metric,180.75,-66.0,90.0,top
C65,1u,C_0603_1608Metric,185.25,-84.5,-90.0,top
C66,1n,C_0603_1608Metric,187.25,-57.75,180.0,top
C67,100n,C_0603_1608Metric,178.0,-61.0,180.0,top
C7,100n,C_0603_1608Metric,236.25,-90.5,0.0,top
C8,100n,C_0603_1608Metric,239.0,-100.0,0.0,top
C9,2.2u,C_0603_1608Metric,223.0,-103.25,-90.0,top
D1,RED,LED_0805_2012Metric,245.0,-91.5,180.0,top
D2,WHITE,LED_0805_2012Metric,245.0,-94.25,180.0,top
D3,YELLOW,LED_0805_2012Metric,198.75,-113.25,180.0,top
D4,SS210,D_SMA,194.75,-92.0,90.0,top
D5,EMERALD,LED_0805_2012Metric,186.25,-81.0,180.0,top
D6,SS36,D_SMA,194.5,-58.0,90.0,top
OCW1,RED,LED_0805_2012Metric,197.5,-107.75,180.0,top
Q10,AO3400A,SOT-23,258.3,-68.8125,90.0,top
Q11,AO3401A,SOT-23,257.25,-62.4,-90.0,top
Q12,AO3400A,SOT-23,251.3,-68.8125,90.0,top
Q13,AO3401A,SOT-23,250.25,-62.4,-90.0,top
Q7,AO3400A,SOT-23,189.75,-80.5,-90.0,top
Q8,AO3400A,SOT-23,254.8,-68.8125,90.0,top
Q9,AO3401A,SOT-23,253.75,-62.4,-90.0,top
R1,100,R_0603_1608Metric,180.25,-61.5,90.0,top
R10,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,243.4,-120.2,0.0,top
R11,100,R_0603_1608Metric,241.75,-91.5,0.0,top
R12,100,R_0603_1608Metric,241.75,-93.0,0.0,top
R13,100,R_0603_1608Metric,195.25,-113.25,0.0,top
R14,1k,R_0603_1608Metric,252.0,-85.925,-90.0,top
R15,1k,R_0603_1608Metric,250.5,-87.425,-90.0,top
R16,1k,R_0603_1608Metric,255.0,-91.0,90.0,top
R17,20k,R_0603_1608Metric,252.75,-88.175,0.0,top
R18,10k,R_0603_1608Metric,200.25,-106.0,90.0,top
R19,3.3k,R_0603_1608Metric,194.25,-100.75,0.0,top
R2,39k,R_0603_1608Metric,220.25,-93.25,0.0,top
R20,10k,R_0603_1608Metric,194.25,-102.5,180.0,top
R21,20k,R_0603_1608Metric,197.25,-102.75,0.0,top
R22,1k,R_0603_1608Metric,194.25,-105.5,0.0,top
R23,1k,R_0603_1608Metric,194.25,-107.75,0.0,top
R24,1k,R_0603_1608Metric,202.0,-109.25,90.0,top
R25,20k,R_0603_1608Metric,247.5,-92.0,-90.0,top
R26,10k,R_0603_1608Metric,202.0,-106.0,90.0,top
R27,1k,R_0603_1608Metric,216.75,-98.25,0.0,top
R28,1k,R_0603_1608Metric,216.75,-99.75,0.0,top
R29,220k,R_0603_1608Metric,199.5,-100.5,-90.0,top
R3,2.2k,R_0603_1608Metric,246.0,-107.25,-90.0,top
R30,10k,R_0603_1608Metric,252.5,-97.25,180.0,top
R31,10k,R_0603_1608Metric,249.5,-97.25,180.0,top
R32,39k,R_0603_1608Metric,208.75,-81.25,180.0,top
R33,2.2k,R_0603_1608Metric,209.5,-78.75,90.0,top
R34,39k,R_0603_1608Metric,227.75,-81.0,180.0,top
R35,2.2k,R_0603_1608Metric,228.5,-78.75,90.0,top
R36,39k,R_0603_1608Metric,246.75,-81.2,180.0,top
R37,2.2k,R_0603_1608Metric,248.25,-79.6,0.0,top
R38,10,R_0603_1608Metric,201.0,-71.0,0.0,top
R39,10,R_0603_1608Metric,199.0,-72.6,0.0,top
R4,2.2k,R_0603_1608Metric,220.25,-95.0,180.0,top
R40,10,R_0603_1608Metric,203.25,-84.0,180.0,top
R41,10,R_0603_1608Metric,203.25,-85.5,180.0,top
R42,4.7k,R_0603_1608Metric,199.5,-87.75,180.0,top
R43,4.7k,R_0603_1608Metric,198.25,-75.0,-90.0,top
R44,1mΩ,R_2512_Yageo_big_pads,201.0,-65.5,-90.0,top
R45,1mΩ,R_2512_Yageo_big_pads,197.0,-65.5,-90.0,top
R46,10,R_0603_1608Metric,210.5,-72.5,180.0,top
R47,10,R_0603_1608Metric,210.5,-74.0,180.0,top
R48,10,R_0603_1608Metric,218.0,-72.6,0.0,top
R49,10,R_0603_1608Metric,219.8,-71.0,0.0,top
R5,2.2k,R_0603_1608Metric,244.0,-107.25,-90.0,top
R50,10,R_0603_1608Metric,222.5,-84.0,180.0,top
R51,10,R_0603_1608Metric,222.5,-85.75,180.0,top
R52,4.7k,R_0603_1608Metric,218.725,-87.75,180.0,top
R53,4.7k,R_0603_1608Metric,217.25,-75.0,-90.0,top
R54,1mΩ,R_2512_Yageo_big_pads,216.0,-65.5,-90.0,top
R55,1mΩ,R_2512_Yageo_big_pads,220.0,-65.5,-90.0,top
R56,10,R_0603_1608Metric,229.25,-72.5,180.0,top
R57,10,R_0603_1608Metric,229.25,-74.0,180.0,top
R58,10,R_0603_1608Metric,238.8,-71.2,0.0,top
R59,10,R_0603_1608Metric,237.0,-72.75,0.0,top
R6,2.2k,R_0603_1608Metric,242.5,-107.25,-90.0,top
R60,10,R_0603_1608Metric,241.5,-84.0,180.0,top
R61,10,R_0603_1608Metric,241.5,-85.75,180.0,top
R62,4.7k,R_0603_1608Metric,237.75,-87.75,180.0,top
R63,4.7k,R_0603_1608Metric,236.25,-75.0,-90.0,top
R64,1mΩ,R_2512_Yageo_big_pads,237.5,-65.5,-90.0,top
R65,10k,R_0603_1608Metric,238.5,-91.5,90.0,top
R66,1mΩ,R_2512_Yageo_big_pads,233.5,-65.5,-90.0,top
R67,10,R_0603_1608Metric,248.25,-74.5,180.0,top
R68,10,R_0603_1608Metric,248.25,-76.0,180.0,top
R69,68k,R_0603_1608Metric,181.5,-74.0,90.0,top
R7,22,R_0603_1608Metric,254.0,-104.5,0.0,top
R70,12k,R_0603_1608Metric,184.25,-78.5,90.0,top
R71,22k,R_0603_1608Metric,189.5,-77.75,0.0,top
R72,75k,R_0603_1608Metric,181.5,-77.0,90.0,top
R73,51k,R_0603_1608Metric,190.5,-75.5,90.0,top
R74,2.2k,R_0603_1608Metric,186.5,-79.25,0.0,top
R75,150k,R_0603_1608Metric,181.5,-70.925,90.0,top
R76,18k,R_0603_1608Metric,186.5,-77.75,0.0,top
R78,1k,R_0603_1608Metric,187.25,-59.25,180.0,top
R79,1k,R_0603_1608Metric,187.25,-56.25,180.0,top
R8,22,R_0603_1608Metric,254.0,-103.0,0.0,top
R80,1k,R_0603_1608Metric,182.5,-60.75,0.0,top
R81,120k,R_0603_1608Metric,185.75,-60.75,180.0,top
R82,56k,R_0603_1608Metric,177.5,-58.75,90.0,top
R83,12k,R_0603_1608Metric,175.25,-63.0,-90.0,top
R84,10k,R_0603_1608Metric,254.8,-71.5625,0.0,top
R85,10k,R_0603_1608Metric,253.75,-59.65,180.0,top
R86,10k,R_0603_1608Metric,258.3,-71.5625,0.0,top
R87,10k,R_0603_1608Metric,257.25,-59.65,180.0,top
R88,10k,R_0603_1608Metric,251.75,-71.5625,0.0,top
R89,10k,R_0603_1608Metric,250.25,-59.65,180.0,top
R9,10k,R_0603_1608Metric,241.0,-107.25,-90.0,top
R_can_termination1,120,R_0805_2012Metric,243.75,-113.5,0.0,top
SERVO_CNT1,EMERALD,LED_0805_2012Metric,177.75,-62.75,0.0,top
TH1,Thermistor_NTC,R_0603_1608Metric,235.5,-92.75,-90.0,top
U1,SMF05CT1G,SOT-363-6_2P2X1P35_ONS,240.7025,-110.25,180.0,top
U10,22uH,IND-SMD_L7.0-W6.6,186.75,-68.0,180.0,top
U11,MX27524ES,EMSOP-8_L3.0-W3.0-P0.65-LS4.9-BL-EP,189.25,-84.325,90.0,top
U12,TP2604-SR,SO-8SOIC-8_TPK,182.0,-57.0,180.0,top
U3,STM32F405RGTx,LQFP-64_10x10mm_P0.5mm,230.5,-99.5,180.0,top
U4,TJA1051T-3,SOIC-8_3.9x4.9mm_P1.27mm,249.5,-114.5,180.0,top
U5,TP2604-SR,SO-8SOIC-8_TPK,251.25,-92.75,-90.0,top
U6,DRV8301QDCAQ1,HTSSOP-56_L14.0-W6.0-P0.50-LS8.0-BL,207.7559,-97.1811,0.0,top
U7,22uH,IND-SMD_L7.0-W6.6,188.5,-94.0,180.0,top
U8,AMS1117-3.3,SOT-223-3_TabPin2,184.0,-106.25,-90.0,top
