Designator,Footprint,Quantity,Value,LCSC Part #
5V1,0805,1,YELLOW,C2296
"C1, C10, C11, C12, C13, C15, C2, C27, C28, C33, C39, C61, C67, C7, C8",0603,15,100n,C14663
"C14, C65",0603,2,1u,C15849
"C16, C17, C21, C22, C31, C32, C66",0603,7,1n,C1588
"C18, C19, C24, C26, C5, C58, C9",0603,7,2.2u,C23630
C20,0603,1,6.8n,C1631
C23,0603,1,150p,C1594
C25,0603,1,22n,C21122
"C29, C37",1210,2,"4.7u, 100V",C381466
"C3, C6",0603,2,15p,C1644
"C30, C47, C48, C52, C53, C56, C57",0603,7,10n,C57112
"C34, C35, C36",0603,3,220n,C21120
"C38, C43",1206,2,2.2u,C50254
C4,0603,1,4.7u,C19666
C40,1210,1,22u,C52306
"C41, C42, C44, C45, C46, C60, C62, C63, C64",1210,9,22u,
C49,0805,1,"4.7n, 100V",C303909
C50,2220,1,"10uF, 100V",C153035
"C51, C54",2220,2,"10uF, 100V",
"C55, C59",0805,2,"4.7n, 100V",
"CAN1, CAN2",JST_XA_S02B-XASK-1_1x02_P2.50mm_Horizontal,2,Conn_01x02_Pin,
"D1, OCW1",0805,2,RED,C84256
D2,0805,1,WHITE,C34499
"D3, D5, SERVO_CNT1",0805,3,EMERALD,C2297
D4,D_SMA,1,SS210,C14996
D6,D_SMA,1,SS36,C7420367
J1,JST_XA_S06B-XASK-1_1x06_P2.50mm_Horizontal,1,Conn_01x06_Pin,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J3,PinHeader_1x05_P2.54mm_Horizontal,1,Conn_01x05_Pin,
M1,JST_XA_S03B-XASK-1N-BN_1x03_P2.50mm_Horizontal,1,Motor_Servo_Hitec,
"Q1, Q2, Q3, Q4, Q5, Q6",TO-220-3_Horizontal_TabUp_no_hole,6,TK3R2E06PL,
"Q10, Q12, Q7, Q8",SOT-23,4,AO3400A,C20917
"Q11, Q13, Q9",SOT-23,3,AO3401A,C15127
"R1, R11, R12, R13",0603,4,100,C22775
R10,0603,1,100k,C25803
"R14, R15, R16, R22, R23, R24, R27, R28, R78, R79, R80",0603,11,1k,C21190
"R17, R21, R25",0603,3,20k,C4184
"R18, R26, R30, R31, R65, R84, R85, R86, R87, R88, R89, R9",0603,12,10k,C25804
R19,0603,1,3.3k,C22978
"R2, R32, R34, R36",0603,4,39k,C23153
"R20, R76",0603,2,18k,C25810
R29,0603,1,220k,C22961
"R3, R33, R35, R37, R4, R5, R6, R74",0603,8,2.2k,C4190
"R38, R39, R40, R41, R46, R47, R48, R49, R50, R51, R56, R57, R58, R59, R67, R68",0603,16,10,C22859
"R42, R43, R52, R53, R62, R63",0603,6,4.7k,C23162
R44,R_2512_Yageo_big_pads,1,1mΩ,C7420016
"R45, R54, R55, R64, R66",R_2512_Yageo_big_pads,5,1mΩ,
"R60, R61",0603,2,10,
R69,0603,1,68k,C23231
"R7, R8",0603,2,22,C23345
"R70, R83",0603,2,12k,C22790
R71,0603,1,22k,C31850
R72,0603,1,75k,C23242
R73,0603,1,51k,C23196
R75,0603,1,150k,C22807
R77,RES_SL1TTE5L00F_KOA,1,SL1TTE5L00F,
R81,0603,1,200k,C25811
R82,0603,1,56k,C23206
RGBLED1,JST_XA_S04B-XASK-1N-BN_1x04_P2.50mm_Horizontal,1,Conn_01x04_Pin,
R_CAN_TERMINATION1,0805,1,120,C17437
TH1,0603,1,Thermistor_NTC,C76589
U1,SOT-363-6_2P2X1P35_ONS,1,SMF05CT1G,C5180312
U10,IND-SMD_L7.0-W6.6,1,22uH,
U11,EMSOP-8_L3.0-W3.0-P0.65-LS4.9-BL-EP,1,MX27524ES,C5341118
U12,SO-8SOIC-8_TPK,1,TP2604-SR,
U2,wetness sensor,1,~,
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,C38695
U5,SO-8SOIC-8_TPK,1,TP2604-SR,C126446
U6,HTSSOP-56_L14.0-W6.0-P0.50-LS8.0-BL,1,DRV8301QDCAQ1,C98969
U7,IND-SMD_L7.0-W6.6,1,22uH,C5359187
U8,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U9,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,LMR16030SDDAR,C136648
USB1,MICRO-USB-SMD_5P-P0.65-H-F_MICRO5.9MMUSB,1,~,C393940
X1,CRYSTAL-SMD_L5.0-W3.2,1,8MHz,C115962
