Designator,Mid X,Mid Y,Rotation,Layer
5V1,71.0,-74.25,180.0,top
C1,93.7,-65.35,180.0,top
C10,99.25,-59.75,90.0,top
C11,96.5,-75.0,270.0,top
C12,109.0,-75.25,270.0,top
C13,112.5,-66.0,0.0,top
C14,112.5,-64.5,0.0,top
C15,127.5,-83.35,270.0,top
C16,113.75,-34.25,90.0,top
C17,128.5,-62.75,270.0,top
C18,80.0,-74.75,270.0,top
C19,82.0,-74.75,270.0,top
C2,113.0,-76.0,90.0,top
C20,70.0,-69.25,270.0,top
C21,90.25,-70.0,180.0,top
C22,91.5,-71.5,180.0,top
C23,71.5,-69.25,270.0,top
C24,86.25,-72.25,90.0,top
C25,81.0,-72.5,180.0,top
C26,88.5,-71.5,0.0,top
C27,128.5,-65.75,270.0,top
C28,121.0,-63.75,270.0,top
C29,90.25,-63.475,270.0,top
C3,119.0,-70.5,90.0,top
C30,70.75,-59.75,90.0,top
C31,67.25,-35.5,270.0,top
C32,86.25,-35.0,270.0,top
C33,72.25,-62.25,180.0,top
C34,78.25,-60.0,0.0,top
C35,81.5,-57.0,0.0,top
C36,84.5,-59.5,0.0,top
C37,74.0,-59.5,180.0,top
C38,55.1,-61.55,180.0,top
C39,67.75,-72.75,0.0,top
C4,112.5,-72.0,0.0,top
C40,55.1,-64.55,180.0,top
C41,55.1,-67.75,180.0,top
C42,60.9,-67.95,0.0,top
C43,63.5,-74.0,0.0,top
C44,63.5,-76.75,0.0,top
C45,63.5,-80.0,0.0,top
C46,63.5,-83.25,0.0,top
C47,73.25,-43.75,270.0,top
C48,72.975,-55.0,180.0,top
C49,82.25,-45.0,0.0,top
C5,100.75,-59.75,90.0,top
C50,79.5,-34.25,90.0,top
C51,98.5,-34.25,90.0,top
C52,92.25,-43.75,270.0,top
C53,92.225,-55.0,180.0,top
C54,117.5,-34.25,90.0,top
C55,101.25,-45.0,0.0,top
C56,111.25,-43.75,270.0,top
C57,111.225,-55.0,180.0,top
C58,110.5,-61.5,90.0,top
C59,120.25,-46.5,0.0,top
C6,119.0,-66.75,270.0,top
C60,52.5,-43.5,270.0,top
C61,64.75,-41.25,270.0,top
C62,50.25,-35.5,180.0,top
C63,50.25,-38.75,180.0,top
C64,54.25,-34.75,90.0,top
C65,58.75,-53.25,270.0,top
C66,60.75,-26.5,180.0,top
C67,51.5,-29.75,180.0,top
C7,109.75,-59.25,0.0,top
C8,112.5,-68.75,0.0,top
C9,96.5,-72.0,270.0,top
D1,118.5,-60.25,180.0,top
