Comment,Designator,Footprint,LCSC,Quantity
200,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
200,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
200,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
200,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
200,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
white,PWR1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
200,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
200,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
Conn_01x06_Pin,J1,JST_XA_B06B-XASK-1_1x06_P2.50mm_Vertical,,1
Conn_02x03_Odd_Even,J2,PinHeader_2x03_P2.54mm_Horizontal,,1
white,LB2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
~,IR2,LED_D3.0mm_Horizontal_O3.81mm_Z2.0mm,,1
white,LB4,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
~,IR1,LED_D3.0mm_Horizontal_O3.81mm_Z2.0mm,,1
white,LB3,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
white,LB1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
