Comment,Designator,Footprint,LCSC,Quantity
~,IR4,LED_D5.0mm,,1
~,LB1,LED_D5.0mm,,1
~,IR1,LED_D5.0mm,,1
~,LB2,LED_D5.0mm,,1
~,PWR1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
~,IR3,LED_D5.0mm,,1
high-power-led,HB1,power led,,1
~,IR2,LED_D5.0mm,,1
200,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
200,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
200,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
Conn_02x03_Odd_Even,J2,PinSocket_2x03_P2.54mm_Vertical,,1
200,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
Fan,M1,PinHeader_1x02_P2.54mm_Vertical,,1
200,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
200,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
200,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
