Comment,Designator,Footprint,LCSC,Quantity
Conn_02x05_Odd_Even,J2,PinHeader_2x05_P2.54mm_Horizontal,,1
RJ45_Shielded,J1,"RJ45 Neltron Industrial Co., Ltd. 7810-8P8C",,1
~,BLDC6,bldc_connector,,1
2.2k,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
GREEN,SERVO_OK_OUTER3,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
1k,R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,BLDC5,bldc_connector,,1
Conn_01x04_Pin,RGBLED6,PinHeader_1x04_P2.54mm_Vertical,,1
2.2k,R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,SERVO6,PinHeader_1x03_P2.54mm_Vertical,,1
~,SERVO8,PinHeader_1x03_P2.54mm_Vertical,,1
2.2k,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,BLDC4,bldc_connector,,1
~,BLDC10,bldc_connector,,1
~,BLDC12,bldc_connector,,1
1k,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,BLDC9,bldc_connector,,1
GREEN,SERVO_OK_OUTER4,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
~,SERVO4,PinHeader_1x03_P2.54mm_Vertical,,1
GREEN,SERVO_OK_OUTER2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
1k,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
Conn_01x04_Pin,RGBLED8,PinHeader_1x04_P2.54mm_Vertical,,1
~,BLDC8,bldc_connector,,1
~,BLDC11,bldc_connector,,1
~,BLDC7,bldc_connector,,1
Conn_01x04_Pin,RGBLED4,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x04_Pin,RGBLED3,JST_XA_B04B-XASK-1_1x04_P2.50mm_Vertical,,1
~,SERVO3,JST_XA_B03B-XASK-1_1x03_P2.50mm_Vertical,,1
Conn_01x04_Pin,RGBLED7,JST_XA_B04B-XASK-1_1x04_P2.50mm_Vertical,,1
~,SERVO5,JST_XA_B03B-XASK-1_1x03_P2.50mm_Vertical,,1
Conn_01x04_Pin,RGBLED5,JST_XA_B04B-XASK-1_1x04_P2.50mm_Vertical,,1
~,SERVO7,JST_XA_B03B-XASK-1_1x03_P2.50mm_Vertical,,1
