Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BLDC10,~,bldc_connector,90.359701,-83.199068,45.0,top
BLDC11,~,bldc_connector,101.673409,-71.88536,45.0,top
BLDC12,~,bldc_connector,105.38572,-75.59767,45.0,top
BLDC4,~,bldc_connector,90.359701,-48.199068,45.0,top
BLDC5,~,bldc_connector,101.673409,-36.88536,45.0,top
BLDC6,~,bldc_connector,105.38572,-40.59767,45.0,top
BLDC7,~,bldc_connector,125.359701,-48.199068,45.0,top
BLDC8,~,bldc_connector,136.673409,-36.88536,45.0,top
BLDC9,~,bldc_connector,140.38572,-40.59767,45.0,top
H1,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,120.75,-102.31,0.0,top
H1,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,85.784322,-102.309961,0.0,top
H1,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,122.784324,-69.30994,45.0,top
H1,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,155.784341,-32.31,0.0,top
H1,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,155.784325,-67.30995,0.0,top
H10,MountingHole_Pad,MountingHole_3.2mm_M3_large_PAD_for_spacer,122.784333,-54.30997,45.0,top
H11,MountingHole_Pad,MountingHole_3.2mm_M3_large_PAD_for_spacer,142.784311,-54.30997,45.0,top
H12,MountingHole_Pad,MountingHole_3.2mm_M3_large_PAD_for_spacer,142.784311,-34.309992,45.0,top
H13,MountingHole_Pad,MountingHole_3.2mm_M3_large_PAD_for_spacer,87.784333,-69.309992,45.0,top
H14,MountingHole_Pad,MountingHole_3.2mm_M3_large_PAD_for_spacer,87.784333,-89.30997,45.0,top
H15,MountingHole_Pad,MountingHole_3.2mm_M3_large_PAD_for_spacer,107.784311,-89.30997,45.0,top
H16,MountingHole_Pad,MountingHole_3.2mm_M3_large_PAD_for_spacer,107.784311,-69.309992,45.0,top
H2,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,122.784324,-89.309946,45.0,top
H2,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,85.784322,-112.309961,0.0,top
H2,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,155.784341,-42.31,0.0,top
H2,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,120.75,-112.31,0.0,top
H2,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,155.784325,-77.30995,0.0,top
H3,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,95.784322,-112.309961,0.0,top
H3,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,130.75,-112.31,0.0,top
H3,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,142.78433,-89.309946,45.0,top
H3,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,165.784341,-42.31,0.0,top
H3,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,165.784325,-77.30995,0.0,top
H4,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,142.78433,-69.30994,45.0,top
H4,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,95.784322,-102.309961,0.0,top
H4,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,165.784341,-32.31,0.0,top
H4,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,130.75,-102.31,0.0,top
H4,MountingHole_Pad,MountingHole_3.2mm_M3_PAD_for_spacer,165.784325,-67.30995,0.0,top
H5,MountingHole_Pad,MountingHole_3.2mm_M3_large_PAD_for_spacer,87.784333,-34.309992,45.0,top
H6,MountingHole_Pad,MountingHole_3.2mm_M3_large_PAD_for_spacer,87.784333,-54.30997,45.0,top
H7,MountingHole_Pad,MountingHole_3.2mm_M3_large_PAD_for_spacer,107.784311,-54.30997,45.0,top
H8,MountingHole_Pad,MountingHole_3.2mm_M3_large_PAD_for_spacer,107.784311,-34.309992,45.0,top
H9,MountingHole_Pad,MountingHole_3.2mm_M3_large_PAD_for_spacer,122.784333,-34.309992,45.0,top
J1,RJ45_Shielded,"RJ45 Neltron Industrial Co., Ltd. 7810-8P8C",129.505441,-75.900529,135.0,top
J1,RJ45_Shielded,"RJ45 Neltron Industrial Co., Ltd. 7810-8P8C",161.084341,-38.51,270.0,bottom
J1,RJ45_Shielded,"RJ45 Neltron Industrial Co., Ltd. 7810-8P8C",126.05,-108.51,270.0,bottom
J1,RJ45_Shielded,"RJ45 Neltron Industrial Co., Ltd. 7810-8P8C",91.084322,-108.509961,270.0,bottom
J1,RJ45_Shielded,"RJ45 Neltron Industrial Co., Ltd. 7810-8P8C",161.084325,-73.50995,270.0,bottom
J1,RJ45_Shielded,"RJ45 Neltron Industrial Co., Ltd. 7810-8P8C",159.954325,-90.84245,180.0,top
J2,Conn_02x05_Odd_Even,PinHeader_2x05_P2.54mm_Horizontal,91.084322,-106.259961,90.0,top
J2,Conn_02x05_Odd_Even,PinHeader_2x05_P2.54mm_Horizontal,161.084341,-36.26,90.0,top
J2,Conn_02x05_Odd_Even,PinHeader_2x05_P2.54mm_Horizontal,126.05,-106.26,90.0,top
