Designator,Mid X,Mid Y,Rotation,Layer
BLDC10,90.359701,-83.199068,45.0,top
BLDC11,101.673409,-71.88536,45.0,top
BLDC12,105.38572,-75.59767,45.0,top
BLDC4,90.359701,-48.199068,45.0,top
BLDC5,101.673409,-36.88536,45.0,top
BLDC6,105.38572,-40.59767,45.0,top
BLDC7,125.359701,-48.199068,45.0,top
BLDC8,136.673409,-36.88536,45.0,top
BLDC9,140.38572,-40.59767,45.0,top
H1_5,155.784341,-32.31,0.0,top
H1_4,155.784341,-53.31,0.0,top
H1_3,85.784322,-102.309961,0.0,top
H1_2,122.784324,-69.30994,45.0,top
H1,106.784341,-102.31,0.0,top
H10,122.784333,-54.30997,45.0,top
H11,142.784311,-54.30997,45.0,top
H12,142.784311,-34.309992,45.0,top
H13,87.784333,-69.309992,45.0,top
H14,87.784333,-89.30997,45.0,top
H15,107.784311,-89.30997,45.0,top
H16,107.784311,-69.309992,45.0,top
H2_5,155.784341,-42.31,0.0,top
H2_4,155.784341,-63.31,0.0,top
H2_3,122.784324,-89.309946,45.0,top
H2_2,85.784322,-112.309961,0.0,top
H2,106.784341,-112.31,0.0,top
H3_5,165.784341,-42.31,0.0,top
H3_4,165.784341,-63.31,0.0,top
H3_3,95.784322,-112.309961,0.0,top
H3_2,142.78433,-89.309946,45.0,top
H3,116.784341,-112.31,0.0,top
H4_5,165.784341,-32.31,0.0,top
H4_4,165.784341,-53.31,0.0,top
H4_3,142.78433,-69.30994,45.0,top
H4_2,95.784322,-102.309961,0.0,top
H4,116.784341,-102.31,0.0,top
H5,87.784333,-34.309992,45.0,top
H6,87.784333,-54.30997,45.0,top
H7,107.784311,-54.30997,45.0,top
H8,107.784311,-34.309992,45.0,top
H9,122.784333,-34.309992,45.0,top
J1_6,167.514308,-88.459954,0.0,top
J1_5,161.084341,-38.51,270.0,bottom
J1_4,161.084341,-59.51,270.0,bottom
J1_3,91.084322,-108.509961,270.0,bottom
J1_2,112.084341,-108.51,270.0,bottom
J2_6,160.034308,-74.829954,90.0,top
J2_5,161.084341,-36.26,90.0,top
J2_4,161.084341,-57.26,90.0,top
J2_3,91.084322,-106.259961,90.0,top
J2_2,112.084341,-106.26,90.0,top
R3,95.309448,-43.602874,225.0,top
R5,93.895235,-46.431301,315.0,top
R6,130.309448,-43.602874,225.0,top
R7,128.895235,-46.431301,315.0,top
R8,95.309448,-78.602874,225.0,top
R9,93.895235,-81.431301,315.0,top
RGBLED3,99.630856,-47.05964,315.0,bottom
RGBLED4,103.557579,-49.143326,315.0,top
RGBLED5,134.630856,-47.05964,315.0,bottom
RGBLED6,138.557579,-49.143326,315.0,top
RGBLED7,99.630856,-82.05964,315.0,bottom
RGBLED8,103.557579,-84.143326,315.0,top
SERVO3,94.92115,-41.180513,315.0,bottom
SERVO4,91.651856,-37.843202,315.0,top
SERVO5,129.92115,-41.180513,315.0,bottom
SERVO6,126.651856,-37.843202,315.0,top
SERVO7,94.92115,-76.180513,315.0,bottom
SERVO8,91.651856,-72.843202,315.0,top
SERVO_OK_OUTER2,96.723662,-45.017088,225.0,top
SERVO_OK_OUTER3,131.723662,-45.017088,225.0,top
SERVO_OK_OUTER4,96.723662,-80.017088,225.0,top
